name,stardot_ts,receiver_ts
1570135203.jpg,2019-10-03 15:40:03,2020-09-11 07:02:47
1570100284.jpg,2019-10-03 05:58:04,2020-09-10 21:20:53
1570080484.jpg,2019-10-03 00:28:04,2020-09-10 15:50:50
1570145041.jpg,2019-10-03 18:24:01,2020-09-11 09:46:46
1570082522.jpg,2019-10-03 01:02:02,2020-09-10 16:24:48
1570092725.jpg,2019-10-03 03:52:05,2020-09-10 19:14:54
1570102444.jpg,2019-10-03 06:34:04,2020-09-10 21:56:53
1570124642.jpg,2019-10-03 12:44:02,2020-09-11 04:06:53
1570141743.jpg,2019-10-03 17:29:03,2020-09-11 08:51:47
1570085701.jpg,2019-10-03 01:55:01,2020-09-10 17:17:48
1570100045.jpg,2019-10-03 05:54:05,2020-09-10 21:16:54
1570090442.jpg,2019-10-03 03:14:02,2020-09-10 18:36:49
1570080902.jpg,2019-10-03 00:35:02,2020-09-10 15:57:48
1570124044.jpg,2019-10-03 12:34:04,2020-09-11 03:56:54
1570116784.jpg,2019-10-03 10:33:04,2020-09-11 01:55:52
1570087923.jpg,2019-10-03 02:32:03,2020-09-10 17:54:49
1570103404.jpg,2019-10-03 06:50:04,2020-09-10 22:12:54
1570113603.jpg,2019-10-03 09:40:03,2020-09-11 01:02:53
1570114144.jpg,2019-10-03 09:49:04,2020-09-11 01:11:54
1570126684.jpg,2019-10-03 13:18:04,2020-09-11 04:40:52
1570149243.jpg,2019-10-03 19:34:03,2020-09-11 10:56:48
1570100643.jpg,2019-10-03 06:04:03,2020-09-10 21:26:51
1570095843.jpg,2019-10-03 04:44:03,2020-09-10 20:06:53
1570142882.jpg,2019-10-03 17:48:02,2020-09-11 09:10:46
1570143544.jpg,2019-10-03 17:59:04,2020-09-11 09:21:48
1570144203.jpg,2019-10-03 18:10:03,2020-09-11 09:32:47
1570140065.jpg,2019-10-03 17:01:05,2020-09-11 08:23:49
1570131844.jpg,2019-10-03 14:44:04,2020-09-11 06:06:51
1570112044.jpg,2019-10-03 09:14:04,2020-09-11 00:36:55
1570144564.jpg,2019-10-03 18:16:04,2020-09-11 09:38:48
1570116544.jpg,2019-10-03 10:29:04,2020-09-11 01:51:52
1570124284.jpg,2019-10-03 12:38:04,2020-09-11 04:00:55
1570092122.jpg,2019-10-03 03:42:02,2020-09-10 19:04:50
1570150263.jpg,2019-10-03 19:51:03,2020-09-11 11:13:47
1570101004.jpg,2019-10-03 06:10:04,2020-09-10 21:32:53
1570091403.jpg,2019-10-03 03:30:03,2020-09-10 18:52:50
1570095665.jpg,2019-10-03 04:41:05,2020-09-10 20:03:54
1570111203.jpg,2019-10-03 09:00:03,2020-09-11 00:22:52
1570111565.jpg,2019-10-03 09:06:05,2020-09-11 00:28:55
1570115703.jpg,2019-10-03 10:15:03,2020-09-11 01:37:52
1570126444.jpg,2019-10-03 13:14:04,2020-09-11 04:36:52
1570136643.jpg,2019-10-03 16:04:03,2020-09-11 07:26:47
1570119844.jpg,2019-10-03 11:24:04,2020-09-11 02:46:54
1570125603.jpg,2019-10-03 13:00:03,2020-09-11 04:22:52
1570104424.jpg,2019-10-03 07:07:04,2020-09-10 22:29:53
1570146603.jpg,2019-10-03 18:50:03,2020-09-11 10:12:48
1570144982.jpg,2019-10-03 18:23:02,2020-09-11 09:45:46
1570134242.jpg,2019-10-03 15:24:02,2020-09-11 06:46:46
1570079342.jpg,2019-10-03 00:09:02,2020-09-10 15:31:48
1570107844.jpg,2019-10-03 08:04:04,2020-09-10 23:26:52
1570128904.jpg,2019-10-03 13:55:04,2020-09-11 05:17:53
1570110243.jpg,2019-10-03 08:44:03,2020-09-11 00:06:55
1570080122.jpg,2019-10-03 00:22:02,2020-09-10 15:44:48
1570126083.jpg,2019-10-03 13:08:03,2020-09-11 04:30:53
1570107065.jpg,2019-10-03 07:51:05,2020-09-10 23:13:54
1570113004.jpg,2019-10-03 09:30:04,2020-09-11 00:52:52
1570117504.jpg,2019-10-03 10:45:04,2020-09-11 02:07:54
1570136521.jpg,2019-10-03 16:02:01,2020-09-11 07:24:45
1570079222.jpg,2019-10-03 00:07:02,2020-09-10 15:29:48
1570116183.jpg,2019-10-03 10:23:03,2020-09-11 01:45:51
1570137603.jpg,2019-10-03 16:20:03,2020-09-11 07:42:46
1570128723.jpg,2019-10-03 13:52:03,2020-09-11 05:14:53
1570143182.jpg,2019-10-03 17:53:02,2020-09-11 09:15:46
1570133465.jpg,2019-10-03 15:11:05,2020-09-11 06:33:48
1570097884.jpg,2019-10-03 05:18:04,2020-09-10 20:40:54
1570102323.jpg,2019-10-03 06:32:03,2020-09-10 21:54:54
1570116424.jpg,2019-10-03 10:27:04,2020-09-11 01:49:52
1570115105.jpg,2019-10-03 10:05:05,2020-09-11 01:27:55
1570122965.jpg,2019-10-03 12:16:05,2020-09-11 03:38:53
1570138083.jpg,2019-10-03 16:28:03,2020-09-11 07:50:47
1570147864.jpg,2019-10-03 19:11:04,2020-09-11 10:33:49
1570133883.jpg,2019-10-03 15:18:03,2020-09-11 06:40:47
1570139404.jpg,2019-10-03 16:50:04,2020-09-11 08:12:49
1570090682.jpg,2019-10-03 03:18:02,2020-09-10 18:40:48
1570131064.jpg,2019-10-03 14:31:04,2020-09-11 05:53:48
1570090866.jpg,2019-10-03 03:21:06,2020-09-10 18:43:52
1570133103.jpg,2019-10-03 15:05:03,2020-09-11 06:27:49
1570147682.jpg,2019-10-03 19:08:02,2020-09-11 10:30:46
1570130344.jpg,2019-10-03 14:19:04,2020-09-11 05:41:48
1570134122.jpg,2019-10-03 15:22:02,2020-09-11 06:44:47
1570097104.jpg,2019-10-03 05:05:04,2020-09-10 20:27:52
1570083603.jpg,2019-10-03 01:20:03,2020-09-10 16:42:49
1570110725.jpg,2019-10-03 08:52:05,2020-09-11 00:14:55
1570100522.jpg,2019-10-03 06:02:02,2020-09-10 21:24:50
1570094343.jpg,2019-10-03 04:19:03,2020-09-10 19:41:52
1570122783.jpg,2019-10-03 12:13:03,2020-09-11 03:35:54
1570127823.jpg,2019-10-03 13:37:03,2020-09-11 04:59:52
1570149122.jpg,2019-10-03 19:32:02,2020-09-11 10:54:47
1570145283.jpg,2019-10-03 18:28:03,2020-09-11 09:50:46
1570108383.jpg,2019-10-03 08:13:03,2020-09-10 23:35:51
1570147443.jpg,2019-10-03 19:04:03,2020-09-11 10:26:47
1570081202.jpg,2019-10-03 00:40:02,2020-09-10 16:02:49
1570091763.jpg,2019-10-03 03:36:03,2020-09-10 18:58:49
1570101364.jpg,2019-10-03 06:16:04,2020-09-10 21:38:54
1570131304.jpg,2019-10-03 14:35:04,2020-09-11 05:57:50
1570098182.jpg,2019-10-03 05:23:02,2020-09-10 20:45:52
1570105923.jpg,2019-10-03 07:32:03,2020-09-10 22:54:53
1570148823.jpg,2019-10-03 19:27:03,2020-09-11 10:49:48
1570129563.jpg,2019-10-03 14:06:03,2020-09-11 05:28:48
1570129205.jpg,2019-10-03 14:00:05,2020-09-11 05:22:54
1570095303.jpg,2019-10-03 04:35:03,2020-09-10 19:57:51
1570099505.jpg,2019-10-03 05:45:05,2020-09-10 21:07:53
1570082643.jpg,2019-10-03 01:04:03,2020-09-10 16:26:49
1570078923.jpg,2019-10-03 00:02:03,2020-09-10 15:24:49
1570149903.jpg,2019-10-03 19:45:03,2020-09-11 11:07:47
